Año Expediente,Nº Expediente,Fecha apertura,Barrio,origen,Solicita resp.,tema ,subtema,Urgencia
2014,1059,3/3/2014,ABEJERAS-AZPILAGAÑA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1072,3/4/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1120,3/6/2014,MILAGROSA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1180,3/10/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1194,3/10/2014,ROCHAPEA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1195,3/10/2014,ENSANCHE,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1203,3/11/2014,ROCHAPEA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,1231,3/11/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1260,3/12/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1284,3/12/2014,SAN JUAN,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1295,3/13/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1299,3/13/2014,,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1364,3/17/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1372,3/17/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1396,3/18/2014,ITURRAMA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1401,3/18/2014,MILAGROSA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1416,3/18/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1446,3/20/2014,ITURRAMA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,1488,3/24/2014,SAN JUAN,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,1497,3/24/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1513,3/24/2014,MILAGROSA,WEB,,Mantenimiento del espacio público,Aceras,
2014,1519,3/25/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1542,3/26/2014,ITURRAMA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1553,3/27/2014,ENSANCHE,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,1560,3/27/2014,ROCHAPEA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,1562,3/27/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1563,3/27/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1582,3/28/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1586,3/28/2014,SAN JUAN,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1588,3/28/2014,ITURRAMA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1598,3/28/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1608,3/30/2014,ROCHAPEA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,1662,4/1/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1663,4/1/2014,MENDILLORRI,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,1675,4/1/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1704,4/3/2014,ITURRAMA,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1711,4/3/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1783,4/7/2014,,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1806,4/7/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1866,4/9/2014,CASCO ANTIGUO,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1871,4/9/2014,ROCHAPEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1896,4/10/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,SI
2014,1952,4/11/2014,SAN JORGE,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,1962,4/11/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,1969,4/14/2014,ROCHAPEA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,1997,4/14/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2004,4/15/2014,ABEJERAS-AZPILAGAÑA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2049,4/16/2014,CASCO ANTIGUO,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2088,4/22/2014,MENDILLORRI,10,SI,Mantenimiento del espacio público,Aceras,NO
2014,2092,4/22/2014,ERMITAGAÑA-MENDEBALDEA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2096,4/22/2014,CHANTREA,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2107,4/23/2014,SAN JUAN,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2108,4/23/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2149,4/24/2014,ERMITAGAÑA-MENDEBALDEA,WEB,SI,Mantenimiento del espacio público,Aceras,
2014,2196,4/28/2014,-----Toda la ciudad-----,WEB,,Mantenimiento del espacio público,Aceras,
2014,2210,4/28/2014,ENSANCHE,10,NO,Mantenimiento del espacio público,Aceras,NO
2014,2222,4/29/2014,SAN JUAN,10,SI,Mantenimiento del espacio público,Aceras,SI
2014,2244,4/30/2014,SAN JUAN,10,NO,Mantenimiento del espacio público,Aceras,NO
